Raush,Acharya,9876546201,raushacharya,raushacharya,raush@gmail.com,BCS,Student,Male
Raush,Acharya,9876546201,raushacharya,raushacharya,raush@gmail.com,BCS,Student,Male
Raush,Acharya,9876546201,admin,password,raush@gmail.com,BCS,Admin,Male
Ramesh,Yadav,789456123,ramesh,ramesh,ramesh@gmail.com,BCS,Student,Male
Anurag,Nepal,9836283426,anrg,anrg,anrg@gmiail.com,BCS,Student,Male
Apple,Pie,9876543211,a,a,a@email.com,BCS,Staff,Male
Ramesh,Adhikari,987654632130,ramesh,suresh,ramesh@gmail.com,BCS,Student,Male
Ram,Yadav,98765432141,ram,ram,ram@ram.com,BCS,Student,Male
Sarbagya,Acharya,9876543211,sarbagya,sarbagya,sarbagya@gmail.com,BCS,Student,Male
Neharika,Acharya,9876543211,neha,neharika,neha@gmail.com,BCS,Student,Female
Hridaya,Acharya,9876543211,hridayaa,hridayaa,hridaya@gmail.com,BCS,Student,Female
